GeneID	perturbed	perturbed	perturbed	control	control
55781	3255	2919	2192	3928	3389
54432	2666	2560	2436	2273	2322
55706	11854	10610	10892	12991	13594
1608	62	60	65	27	47
84256	1640	1584	2564	2329	2391
64718	1058	916	1366	1137	1351
6916	65	85	42	48	33
64761	1076	953	1085	1143	831
5832	18343	17047	17436	16201	17704
6894	2705	2403	2153	2759	2939
5188	2322	2136	1436	1476	1417
4084	97	97	223	284	214
5128	1563	1465	1600	1870	1995
548645	693	698	724	948	858
6515	50607	45847	61342	50839	64749
5662	271	267	261	190	271
9150	5605	5318	4657	4232	4608
8531	21057	19535	18212	18561	18838
55359	216	179	171	169	103
65125	14495	12980	20754	22679	26340
55749	9103	8609	10059	18956	16238
11054	2920	2952	2665	2481	2576
2769	38	44	26	51	46
84699	11	7	11	4	3
55650	846	855	800	734	891
10076	6280	5906	4856	3558	4653
9410	12283	11247	9032	8958	9640
23504	85	53	43	74	54
1301	1180	984	2203	3947	2307
79832	8710	7781	13417	18668	20257
51660	678	643	571	775	645
30	2341	2281	1856	1720	1602
586	16816	15760	22127	32181	33899
51564	9289	8885	9071	8533	8023
11178	1888	1665	1668	968	1092
93166	4	14	17	8	23
7478	2	0	5	0	0
6676	218	159	51	39	71
10787	18791	17359	19805	23470	27093
60488	7041	6306	5708	6864	6330
2983	247	220	224	176	323
6433	4625	4449	5412	4617	5898
10188	2471	2349	3329	3031	3338
23041	1745	1515	2406	2890	3296
1001	12639	11589	18145	18022	18033
416	2	0	3	0	5
65056	7319	7070	7853	10174	11603
84649	269	229	125	112	161
7771	370	302	314	508	403
1431	18631	16433	15514	14483	16231
4058	11	4	18	11	10
64951	6928	6564	4581	3623	4137
63916	2304	1999	2316	2324	2237
23063	6404	5777	8112	10181	11080
81671	6956	6513	6359	6770	6181
10513	1030	1032	1533	1756	1843
5424	11394	10958	12393	9507	10890
124925	431	373	326	258	277
1975	43042	39899	37854	36725	45647
28968	27	40	58	33	39
29998	2187	1945	2012	1820	2028
56848	2725	2566	3044	2023	2552
6141	65006	62805	43147	34900	37056
770	4739	4590	4165	3286	3645
79763	5773	5422	4539	3492	3897
11338	34319	33686	26751	29236	28973
29924	17311	16567	14945	11533	13469
55588	5784	5533	5192	5211	4729
57491	112	128	107	103	130
2928	19	14	8	10	18
10838	1483	1387	2117	2017	2251
105373378	1483	1387	2117	2017	2251
8776	2829	2652	3358	3433	3624
2817	4310	4150	4399	3052	3440
57143	939	815	681	579	523
3029	1651	1699	1617	1363	1603
